"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7836885816034,-1.53140617181471,3.9
133,"Musoma MC","Buhare",14,22,2,4,2,0,"Built",33.7832589512394,-1.53232148994171,3.9
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.782063328772,-1.53344038759153,4.85
130,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7809463578638,-1.53062778166201,4.928
130,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7827452093555,-1.53165824171298,4.789
130,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7819936551145,-1.53493968097231,4.55
130,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7802320506788,-1.53493545147162,3.9
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.8015771140628,-1.52222994187633,3.9
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.8191080276116,-1.99782696495926,4.68
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.8197544962146,-1.99711641570921,5
512,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.8204209124139,-1.9961358477606,4.66
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.8193599748378,-1.99760805850672,4.74
43,"Bunda TC","Kabasa",9,52,2,4,2,0,"Built",33.8200398919535,-1.99642475827902,5
43,"Bunda TC","Kabasa",9,52,2,4,0,0,"Built",33.8197331769736,-1.99604742828395,4.9
28,"Bunda DC","Kisorya",24,162,2,4,0,0,"Built",33.2242499143076,-2.1055140601294,4.854
28,"Bunda DC","Kisorya",24,162,2,4,0,0,"Built",33.2235663753996,-2.10752983973561,4.803
28,"Bunda DC","Kisorya",24,162,2,4,0,0,"Built",33.222680680603,-2.10734565564487,4.803
39,"Serengeti DC","Nyamoko",33,389,2,4,1,0,"Built",34.6161105401948,-1.82819737322749,4.04
